Statistic Label,Year,Household Disposable Income Quintiles,Expenditure,UNIT,VALUE
Average weekly household expenditure,2023,1st quintile,Total average weekly household expenditure (00.00.00.00),Euro,444
Average weekly household expenditure,2023,1st quintile,Total food (01),Euro,78.91
Average weekly household expenditure,2023,1st quintile,Total food consumed at home (01.01),Euro,67.71
Average weekly household expenditure,2023,1st quintile,Bread (including retail sandwiches) (01.01.01),Euro,4.21
Average weekly household expenditure,2023,1st quintile,Flour (01.01.02),Euro,0.11
Average weekly household expenditure,2023,1st quintile,Pastries and biscuits (01.01.03),Euro,5.06
Average weekly household expenditure,2023,1st quintile,Breakfast cereals (01.01.04),Euro,0.9
Average weekly household expenditure,2023,1st quintile,"Milk, cream yoghurts and cheese (01.01.05)",Euro,6.31
Average weekly household expenditure,2023,1st quintile,"Butter, fats and cooking oil (01.01.06)",Euro,1.62
Average weekly household expenditure,2023,1st quintile,Eggs (01.01.07),Euro,1.07
Average weekly household expenditure,2023,1st quintile,"Pasta, pizza, quiche and grains (01.01.08)",Euro,1.42
Average weekly household expenditure,2023,1st quintile,Total meat (01.01.09),Euro,14.61
Average weekly household expenditure,2023,1st quintile,Uncooked meat (01.01.09.01),Euro,8.83
Average weekly household expenditure,2023,1st quintile,Cooked meat and convenience meat products (01.01.09.02),Euro,5.78
Average weekly household expenditure,2023,1st quintile,Fish and fish products (01.01.10),Euro,1.68
Average weekly household expenditure,2023,1st quintile,Fruit and nuts (01.01.11),Euro,4.03
Average weekly household expenditure,2023,1st quintile,Fresh fruit (01.01.11.01),Euro,3.28
Average weekly household expenditure,2023,1st quintile,Other fruit and nuts (01.01.11.02),Euro,0.75
Average weekly household expenditure,2023,1st quintile,Vegetables (01.01.12),Euro,6.5
Average weekly household expenditure,2023,1st quintile,Fresh vegetables (01.01.12.01),Euro,4.33
Average weekly household expenditure,2023,1st quintile,Other vegetables and vegetable products (01.01.12.02),Euro,2.17
Average weekly household expenditure,2023,1st quintile,"Sugars, confectionary and snacks (01.01.13)",Euro,6.97
Average weekly household expenditure,2023,1st quintile,Other food items (01.01.14),Euro,3.37
Average weekly household expenditure,2023,1st quintile,Non-alcoholic beverages (01.01.15),Euro,6.3
Average weekly household expenditure,2023,1st quintile,"Tea, coffee and cocoa (01.01.15.01)",Euro,1.84
Average weekly household expenditure,2023,1st quintile,Water - still/sparkling/flavoured (01.01.15.02),Euro,0.9
Average weekly household expenditure,2023,1st quintile,"Soft drinks, including juices (01.01.15.03)",Euro,3.56
Average weekly household expenditure,2023,1st quintile,Takeaway food brought/delivered to home (01.01.16),Euro,3.54
Average weekly household expenditure,2023,1st quintile,Meals away from home (including takeout tea/coffee) (01.02),Euro,11.2
Average weekly household expenditure,2023,1st quintile,Total alcohol and tobacco (02),Euro,16.62
Average weekly household expenditure,2023,1st quintile,Alcohol (02.01),Euro,9.36
Average weekly household expenditure,2023,1st quintile,Tobacco (02.02),Euro,7.26
Average weekly household expenditure,2023,1st quintile,Total clothing and footwear (03),Euro,12.5
Average weekly household expenditure,2023,1st quintile,Total fuel and light (04),Euro,48.57
Average weekly household expenditure,2023,1st quintile,Electricity (04.01),Euro,26.81
Average weekly household expenditure,2023,1st quintile,Gas (04.02),Euro,6.12
Average weekly household expenditure,2023,1st quintile,Liquid Fuels (e.g. heating oil) (04.03),Euro,9.09
Average weekly household expenditure,2023,1st quintile,Solid Fuels (04.04),Euro,6.55
Average weekly household expenditure,2023,1st quintile,Total housing (05),Euro,100.92
Average weekly household expenditure,2023,1st quintile,Rent paid for primary dwelling (05.01),Euro,64.77
Average weekly household expenditure,2023,1st quintile,Mortgage payment (primary dwelling) (05.02),Euro,6.7
Average weekly household expenditure,2023,1st quintile,Primary dwelling insurance (05.03),Euro,3.19
Average weekly household expenditure,2023,1st quintile,Local property tax (05.04),Euro,1.94
Average weekly household expenditure,2023,1st quintile,Refuse/sewage collection and skip hire (05.05),Euro,3.58
Average weekly household expenditure,2023,1st quintile,"Services for maintenance and repair of the dwelling (e.g. electrician, painter) (05.06)",Euro,3.69
Average weekly household expenditure,2023,1st quintile,Capital improvements (05.07),Euro,13.42
Average weekly household expenditure,2023,1st quintile,Other housing costs (05.08),Euro,3.63
Average weekly household expenditure,2023,1st quintile,Total household non-durable goods (06),Euro,9.78
Average weekly household expenditure,2023,1st quintile,Household cleaning products and non-durable small household articles (06.01),Euro,4.02
Average weekly household expenditure,2023,1st quintile,Toiletries and related produtcs (06.02),Euro,3.45
Average weekly household expenditure,2023,1st quintile,Hair and cosmetic products (06.03),Euro,2.32
Average weekly household expenditure,2023,1st quintile,Total household durable goods (07),Euro,17.57
Average weekly household expenditure,2023,1st quintile,"Household furniture, including repairs (07.01)",Euro,3.52
Average weekly household expenditure,2023,1st quintile,Household textiles (07.02),Euro,1.49
Average weekly household expenditure,2023,1st quintile,"Major household appliances (e.g. fridges, washing machine, cookers) (07.03)",Euro,1.89
Average weekly household expenditure,2023,1st quintile,Other household appliances (07.04),Euro,1.04
Average weekly household expenditure,2023,1st quintile,"Delph, cutlery and kitchen utensils (07.05)",Euro,1.19
Average weekly household expenditure,2023,1st quintile,Garden furniture and accessories (07.06),Euro,0.59
Average weekly household expenditure,2023,1st quintile,"Computers (including laptops, tablets, game consoles) and accessories (07.07)",Euro,2.22
Average weekly household expenditure,2023,1st quintile,Televisions and other media players (07.08),Euro,0.75
Average weekly household expenditure,2023,1st quintile,Fancy and decorative goods (e.g. mirrors) (07.09),Euro,2.26
Average weekly household expenditure,2023,1st quintile,Other household durable items (07.10),Euro,2.61
Average weekly household expenditure,2023,1st quintile,Total transport (08),Euro,54.49
Average weekly household expenditure,2023,1st quintile,Vehicles (net of trade in) (08.01),Euro,11.33
Average weekly household expenditure,2023,1st quintile,Motor Fuel (08.02),Euro,17.35
Average weekly household expenditure,2023,1st quintile,"Insurance, tax and fines (08.03)",Euro,15.8
Average weekly household expenditure,2023,1st quintile,Vehicle maintenance and other costs (08.04),Euro,4.21
Average weekly household expenditure,2023,1st quintile,"Bus, Luas, rail and taxi (08.05)",Euro,1.94
Average weekly household expenditure,2023,1st quintile,Other transport expenditure (08.06),Euro,3.85
Average weekly household expenditure,2023,1st quintile,"Total miscellaneous goods, services and other expenditure (09)",Euro,104.64
Average weekly household expenditure,2023,1st quintile,Medical expenses/services and therapeutic equipment (09.01),Euro,10.83
Average weekly household expenditure,2023,1st quintile,"Telephone, mobile and car phone (09.02)",Euro,9.41
Average weekly household expenditure,2023,1st quintile,"Internet, telephone and television subscriptions (09.03)",Euro,13.13
Average weekly household expenditure,2023,1st quintile,Internet subscription fees (not bundled) (09.03.01),Euro,2.92
Average weekly household expenditure,2023,1st quintile,TV licences (09.03.02),Euro,1.06
Average weekly household expenditure,2023,1st quintile,Satellite and cable TV subscription (09.03.03),Euro,1.48
Average weekly household expenditure,2023,1st quintile,Bundled subscription fees (09.03.04),Euro,6.49
Average weekly household expenditure,2023,1st quintile,"Downloads, streaming, apps and other internet services n.e.c (09.03.05)",Euro,1.18
Average weekly household expenditure,2023,1st quintile,Admission and subscription charges - sports and leisure (09.04),Euro,5.66
Average weekly household expenditure,2023,1st quintile,Betting and lotteries (09.05),Euro,1.86
Average weekly household expenditure,2023,1st quintile,Reading materials (09.06),Euro,3.48
Average weekly household expenditure,2023,1st quintile,Education and training (09.07),Euro,10.67
Average weekly household expenditure,2023,1st quintile,Games and items for sports and open-air recreation (09.08),Euro,1.3
Average weekly household expenditure,2023,1st quintile,Holiday expenditure (09.09),Euro,14.36
Average weekly household expenditure,2023,1st quintile,Insurance/pension premiums (09.10),Euro,11.15
Average weekly household expenditure,2023,1st quintile,Medical/dental insurance (09.10.01),Euro,7.82
Average weekly household expenditure,2023,1st quintile,Other insurance premiums (09.10.02),Euro,2.73
Average weekly household expenditure,2023,1st quintile,Pension contributions (09.10.03),Euro,0.6
Average weekly household expenditure,2023,1st quintile,Pet costs (09.11),Euro,6.89
Average weekly household expenditure,2023,1st quintile,Legal/Professional/Banking fees (09.12),Euro,1.86
Average weekly household expenditure,2023,1st quintile,"Plants, flowers, seeds, fertilisers and insecticides (09.13)",Euro,2
Average weekly household expenditure,2023,1st quintile,Hairdressing and personal grooming (09.14),Euro,2.17
Average weekly household expenditure,2023,1st quintile,Personal goods (09.15),Euro,1.29
Average weekly household expenditure,2023,1st quintile,Baby equipment (09.16),Euro,0
Average weekly household expenditure,2023,1st quintile,Childcare (09.17),Euro,0.08
Average weekly household expenditure,2023,1st quintile,"Other care, domestic and household services (09.18)",Euro,1.97
Average weekly household expenditure,2023,1st quintile,Charitable donations and subscriptions (09.19),Euro,0.46
Average weekly household expenditure,2023,1st quintile,Other money given to other persons (09.20),Euro,4.73
Average weekly household expenditure,2023,1st quintile,Other Miscellaneous (09.21),Euro,1.33
Average weekly household expenditure,2023,2nd quintile,Total average weekly household expenditure (00.00.00.00),Euro,695.19
Average weekly household expenditure,2023,2nd quintile,Total food (01),Euro,129.33
Average weekly household expenditure,2023,2nd quintile,Total food consumed at home (01.01),Euro,109.27
Average weekly household expenditure,2023,2nd quintile,Bread (including retail sandwiches) (01.01.01),Euro,5.77
Average weekly household expenditure,2023,2nd quintile,Flour (01.01.02),Euro,0.27
Average weekly household expenditure,2023,2nd quintile,Pastries and biscuits (01.01.03),Euro,7.92
Average weekly household expenditure,2023,2nd quintile,Breakfast cereals (01.01.04),Euro,1.65
Average weekly household expenditure,2023,2nd quintile,"Milk, cream yoghurts and cheese (01.01.05)",Euro,10.26
Average weekly household expenditure,2023,2nd quintile,"Butter, fats and cooking oil (01.01.06)",Euro,2.86
Average weekly household expenditure,2023,2nd quintile,Eggs (01.01.07),Euro,1.67
Average weekly household expenditure,2023,2nd quintile,"Pasta, pizza, quiche and grains (01.01.08)",Euro,2.28
Average weekly household expenditure,2023,2nd quintile,Total meat (01.01.09),Euro,21.15
Average weekly household expenditure,2023,2nd quintile,Uncooked meat (01.01.09.01),Euro,14.88
Average weekly household expenditure,2023,2nd quintile,Cooked meat and convenience meat products (01.01.09.02),Euro,6.27
Average weekly household expenditure,2023,2nd quintile,Fish and fish products (01.01.10),Euro,3.13
Average weekly household expenditure,2023,2nd quintile,Fruit and nuts (01.01.11),Euro,7.81
Average weekly household expenditure,2023,2nd quintile,Fresh fruit (01.01.11.01),Euro,6.56
Average weekly household expenditure,2023,2nd quintile,Other fruit and nuts (01.01.11.02),Euro,1.25
Average weekly household expenditure,2023,2nd quintile,Vegetables (01.01.12),Euro,10.29
Average weekly household expenditure,2023,2nd quintile,Fresh vegetables (01.01.12.01),Euro,6.9
Average weekly household expenditure,2023,2nd quintile,Other vegetables and vegetable products (01.01.12.02),Euro,3.4
Average weekly household expenditure,2023,2nd quintile,"Sugars, confectionary and snacks (01.01.13)",Euro,10.7
Average weekly household expenditure,2023,2nd quintile,Other food items (01.01.14),Euro,7.29
Average weekly household expenditure,2023,2nd quintile,Non-alcoholic beverages (01.01.15),Euro,9.65
Average weekly household expenditure,2023,2nd quintile,"Tea, coffee and cocoa (01.01.15.01)",Euro,2.07
Average weekly household expenditure,2023,2nd quintile,Water - still/sparkling/flavoured (01.01.15.02),Euro,1.62
Average weekly household expenditure,2023,2nd quintile,"Soft drinks, including juices (01.01.15.03)",Euro,5.97
Average weekly household expenditure,2023,2nd quintile,Takeaway food brought/delivered to home (01.01.16),Euro,6.57
Average weekly household expenditure,2023,2nd quintile,Meals away from home (including takeout tea/coffee) (01.02),Euro,20.06
Average weekly household expenditure,2023,2nd quintile,Total alcohol and tobacco (02),Euro,28.53
Average weekly household expenditure,2023,2nd quintile,Alcohol (02.01),Euro,19.5
Average weekly household expenditure,2023,2nd quintile,Tobacco (02.02),Euro,9.03
Average weekly household expenditure,2023,2nd quintile,Total clothing and footwear (03),Euro,29.43
Average weekly household expenditure,2023,2nd quintile,Total fuel and light (04),Euro,57.22
Average weekly household expenditure,2023,2nd quintile,Electricity (04.01),Euro,29.93
Average weekly household expenditure,2023,2nd quintile,Gas (04.02),Euro,10.85
Average weekly household expenditure,2023,2nd quintile,Liquid Fuels (e.g. heating oil) (04.03),Euro,9.42
Average weekly household expenditure,2023,2nd quintile,Solid Fuels (04.04),Euro,7.03
Average weekly household expenditure,2023,2nd quintile,Total housing (05),Euro,129.61
Average weekly household expenditure,2023,2nd quintile,Rent paid for primary dwelling (05.01),Euro,52.27
Average weekly household expenditure,2023,2nd quintile,Mortgage payment (primary dwelling) (05.02),Euro,30.71
Average weekly household expenditure,2023,2nd quintile,Primary dwelling insurance (05.03),Euro,4.82
Average weekly household expenditure,2023,2nd quintile,Local property tax (05.04),Euro,3.25
Average weekly household expenditure,2023,2nd quintile,Refuse/sewage collection and skip hire (05.05),Euro,4.15
Average weekly household expenditure,2023,2nd quintile,"Services for maintenance and repair of the dwelling (e.g. electrician, painter) (05.06)",Euro,9.67
Average weekly household expenditure,2023,2nd quintile,Capital improvements (05.07),Euro,15.17
Average weekly household expenditure,2023,2nd quintile,Other housing costs (05.08),Euro,9.56
Average weekly household expenditure,2023,2nd quintile,Total household non-durable goods (06),Euro,14.82
Average weekly household expenditure,2023,2nd quintile,Household cleaning products and non-durable small household articles (06.01),Euro,5.67
Average weekly household expenditure,2023,2nd quintile,Toiletries and related produtcs (06.02),Euro,4.88
Average weekly household expenditure,2023,2nd quintile,Hair and cosmetic products (06.03),Euro,4.27
Average weekly household expenditure,2023,2nd quintile,Total household durable goods (07),Euro,25.67
Average weekly household expenditure,2023,2nd quintile,"Household furniture, including repairs (07.01)",Euro,7
Average weekly household expenditure,2023,2nd quintile,Household textiles (07.02),Euro,1.57
Average weekly household expenditure,2023,2nd quintile,"Major household appliances (e.g. fridges, washing machine, cookers) (07.03)",Euro,3.27
Average weekly household expenditure,2023,2nd quintile,Other household appliances (07.04),Euro,0.87
